Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
2024	40.56	6.4515	37.98	37.9772	-0.0001	37.9064	38.44	8.9726	34.73	34.731	-0.0406	34.637
2025	40.56	6.4515	37.98	37.9781	-0.0001	37.9073	40.34	13.0818	35.01	35.009	-0.0448	34.874
2026	40.56	6.4515	37.98	37.9789	-0.0001	37.9082	40.51	13.3598	35.16	35.159	-0.0243	35.021
2027	40.56	6.4515	37.98	37.9798	-0.0001	37.9090	40.62	13.3680	35.28	35.276	-0.0188	35.136
2028	40.56	6.4515	37.98	37.9807	-0.0001	37.9099	39.60	10.9723	35.27	35.266	0.0016	35.150
2029	40.56	6.4515	37.98	37.9815	-0.0001	37.9108	39.63	10.8015	35.31	35.307	-0.0066	35.191
2030	40.56	6.4515	37.98	37.9824	-0.0001	37.9116	40.80	13.1979	35.46	35.461	-0.0249	35.321
2031	40.56	6.4515	37.98	37.9832	-0.0001	37.9125	40.91	13.3700	35.56	35.557	-0.0154	35.415
2032	40.56	6.4515	37.98	37.9841	-0.0001	37.9133	40.99	13.3733	35.64	35.641	-0.0137	35.500
2033	40.57	6.4515	37.98	37.9849	-0.0001	37.9142	39.31	9.6261	35.55	35.551	0.0146	35.447
2034	40.57	6.4515	37.99	37.9858	-0.0001	37.9150	36.97	4.4097	35.33	35.329	0.0358	35.277
2035	40.57	6.4515	37.99	37.9866	-0.0001	37.9158	35.10	0.3008	35.08	35.079	0.0404	35.069
2036	40.57	6.4515	37.99	37.9874	-0.0001	37.9167	34.96	0.0229	34.95	34.955	0.0200	34.948
