Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
4699	40.822	6.452	38.242	38.242	0.000	38.242	34.993	-0.055	35.015	35.062	0.016	35.056
4700	40.822	6.452	38.242	38.242	0.000	38.242	34.974	0.007	34.971	35.009	0.008	35.006
4701	40.822	6.452	38.242	38.242	0.000	38.242	34.926	0.008	34.922	34.960	0.008	34.957
4702	40.822	6.452	38.242	38.242	0.000	38.242	34.877	0.008	34.874	34.912	0.008	34.909
4703	40.822	6.452	38.242	38.242	0.000	38.242	34.829	0.008	34.826	34.864	0.008	34.860
4704	40.822	6.452	38.242	38.242	0.000	38.242	34.781	0.008	34.778	34.815	0.008	34.812
4705	40.822	6.452	38.242	38.242	0.000	38.242	34.733	0.008	34.730	34.767	0.008	34.764
4706	40.822	6.452	38.242	38.242	0.000	38.242	34.685	0.008	34.682	34.719	0.008	34.716
4707	40.822	6.452	38.242	38.242	0.000	38.242	34.638	0.008	34.635	34.672	0.008	34.668
4708	40.822	6.452	38.242	38.242	0.000	38.242	34.590	0.008	34.587	34.624	0.008	34.621
4709	40.822	6.452	38.242	38.242	0.000	38.242	34.633	0.194	34.555	34.654	0.153	34.593
4710	40.822	6.452	38.242	38.242	0.000	38.242	36.360	3.819	34.833	34.910	0.009	34.906
4711	40.822	6.452	38.242	38.242	0.000	38.242	38.812	8.848	35.272	35.323	-0.119	35.371
4712	40.822	6.452	38.242	38.242	0.000	38.242	40.738	12.712	35.654	35.679	-0.208	35.763
4713	40.822	6.452	38.242	38.242	0.000	38.242	41.129	13.373	35.780	35.840	-0.025	35.850
4714	40.822	6.452	38.242	38.242	0.000	38.242	41.134	13.236	35.840	35.887	-0.071	35.915
4715	40.822	6.452	38.242	38.242	0.000	38.242	40.160	11.101	35.719	35.864	0.215	35.778
4716	40.822	6.452	38.242	38.242	0.000	38.242	40.124	10.925	35.754	35.835	0.052	35.814
4717	40.822	6.452	38.242	38.242	0.000	38.242	41.194	13.013	35.989	35.988	-0.219	36.076
4718	40.822	6.452	38.242	38.242	0.000	38.242	41.440	13.375	36.090	36.145	-0.038	36.161
4719	40.822	6.452	38.242	38.242	0.000	38.242	41.509	13.371	36.160	36.103	-0.236	36.197
4720	40.822	6.452	38.242	38.242	0.000	38.242	39.700	9.529	35.888	35.886	-0.036	35.901
4721	40.822	6.452	38.242	38.242	0.000	38.242	37.311	4.581	35.479	35.497	0.099	35.458
4722	40.822	6.452	38.242	38.242	0.000	38.242	35.363	0.619	35.115	35.126	0.120	35.078
4723	40.822	6.452	38.242	38.242	0.000	38.242	34.990	-0.053	35.011	35.026	0.016	35.020
4724	40.822	6.452	38.242	38.242	0.000	38.242	34.970	0.007	34.967	34.974	0.008	34.971
4725	40.822	6.452	38.242	38.242	0.000	38.242	34.922	0.008	34.919	34.925	0.008	34.922
4726	40.822	6.452	38.242	38.242	0.000	38.242	34.873	0.008	34.870	34.877	0.008	34.873
4727	40.822	6.452	38.242	38.242	0.000	38.242	34.825	0.008	34.822	34.829	0.008	34.825
4728	40.822	6.452	38.242	38.242	0.000	38.242	34.777	0.008	34.774	34.781	0.008	34.777
4729	40.822	6.452	38.242	38.242	0.000	38.242	34.729	0.008	34.726	34.733	0.008	34.729
4730	40.822	6.452	38.242	38.242	0.000	38.242	34.682	0.008	34.678	34.685	0.008	34.682
4731	40.822	6.452	38.242	38.242	0.000	38.242	34.634	0.008	34.631	34.637	0.008	34.634
4732	40.822	6.452	38.242	38.242	0.000	38.242	34.586	0.008	34.583	34.589	0.008	34.586
4733	40.822	6.452	38.242	38.242	0.000	38.242	34.954	0.852	34.613	34.625	0.162	34.560
4734	40.822	6.452	38.242	38.242	0.000	38.242	36.366	3.823	34.837	34.879	0.011	34.874
4735	40.822	6.452	38.242	38.242	0.000	38.242	38.782	8.775	35.272	35.293	-0.113	35.338
4736	40.822	6.452	38.242	38.242	0.000	38.242	40.797	12.816	35.670	35.670	-0.160	35.734
4737	40.822	6.452	38.242	38.242	0.000	38.242	41.136	13.371	35.788	35.811	-0.017	35.818
4738	40.822	6.452	38.242	38.242	0.000	38.242	41.203	13.360	35.859	35.876	-0.027	35.887
4739	40.822	6.452	38.242	38.242	0.000	38.242	40.220	11.207	35.737	35.808	0.177	35.737
4740	40.822	6.452	38.242	38.242	0.000	38.242	40.126	10.911	35.761	35.823	0.093	35.786
4741	40.822	6.452	38.242	38.242	0.000	38.242	41.201	13.008	35.997	36.022	-0.087	36.057
4742	40.822	6.452	38.242	38.242	0.000	38.242	41.448	13.372	36.099	36.127	-0.017	36.133
4743	40.822	6.452	38.242	38.242	0.000	38.242	41.486	13.306	36.164	36.093	-0.204	36.175
4744	40.822	6.452	38.242	38.242	0.000	38.242	39.707	9.525	35.897	35.887	-0.002	35.887
4745	40.822	6.452	38.242	38.242	0.000	38.242	37.322	4.585	35.488	35.490	0.115	35.444
4746	40.822	6.452	38.242	38.242	0.000	38.242	35.375	0.627	35.124	35.128	0.151	35.067
4747	40.822	6.452	38.242	38.242	0.000	38.242	34.997	-0.055	35.019	35.015	0.018	35.007
4748	40.822	6.452	38.242	38.242	0.000	38.242	34.978	0.007	34.975	34.961	0.009	34.958
4749	40.822	6.452	38.242	38.242	0.000	38.242	34.930	0.008	34.927	34.912	0.008	34.909
4750	40.822	6.452	38.242	38.242	0.000	38.242	34.881	0.008	34.878	34.864	0.008	34.861
4751	40.822	6.452	38.242	38.242	0.000	38.242	34.833	0.008	34.830	34.816	0.008	34.813
4752	40.822	6.452	38.242	38.242	0.000	38.242	34.785	0.008	34.782	34.768	0.008	34.765
4753	40.822	6.452	38.242	38.242	0.000	38.242	34.737	0.008	34.734	34.720	0.008	34.717
4754	40.822	6.452	38.242	38.242	0.000	38.242	34.690	0.008	34.686	34.672	0.008	34.669
4755	40.822	6.452	38.242	38.242	0.000	38.242	34.642	0.008	34.639	34.624	0.008	34.621
4756	40.822	6.452	38.242	38.242	0.000	38.242	34.594	0.008	34.591	34.577	0.008	34.574
4757	40.822	6.452	38.242	38.242	0.000	38.242	34.639	0.199	34.560	34.613	0.162	34.548
4758	40.822	6.452	38.242	38.242	0.000	38.242	36.367	3.824	34.838	34.866	0.012	34.862
4759	40.822	6.452	38.242	38.242	0.000	38.242	38.808	8.833	35.275	35.280	-0.113	35.326
4760	40.822	6.452	38.242	38.242	0.000	38.242	40.752	12.732	35.659	35.657	-0.162	35.722
4761	40.822	6.452	38.242	38.242	0.000	38.242	41.134	13.373	35.784	35.798	-0.018	35.806
4762	40.822	6.452	38.242	38.242	0.000	38.242	41.159	13.277	35.848	35.867	-0.023	35.876
4763	40.822	6.452	38.242	38.242	0.000	38.242	40.214	11.203	35.733	35.800	0.183	35.726
4764	40.822	6.452	38.242	38.242	0.000	38.242	40.109	10.885	35.755	35.807	0.084	35.773
4765	40.822	6.452	38.242	38.242	0.000	38.242	41.204	13.023	35.995	36.004	-0.098	36.044
4766	40.822	6.452	38.242	38.242	0.000	38.242	41.444	13.373	36.095	36.114	-0.018	36.121
4767	40.822	6.452	38.242	38.242	0.000	38.242	41.464	13.269	36.157	36.084	-0.199	36.163
4768	40.822	6.452	38.242	38.242	0.000	38.242	39.702	9.523	35.892	35.879	0.005	35.877
4769	40.822	6.452	38.242	38.242	0.000	38.242	37.319	4.587	35.484	35.475	0.107	35.432
4770	40.822	6.452	38.242	38.242	0.000	38.242	35.379	0.644	35.121	35.097	0.115	35.051
4771	40.822	6.452	38.242	38.242	0.000	38.242	35.000	-0.041	35.016	35.000	0.016	34.994
4772	40.822	6.452	38.242	38.242	0.000	38.242	34.973	0.004	34.971	34.948	0.008	34.944
4773	40.822	6.452	38.242	38.242	0.000	38.242	34.926	0.008	34.923	34.899	0.008	34.896
4774	40.822	6.452	38.242	38.242	0.000	38.242	34.877	0.008	34.874	34.850	0.008	34.847
4775	40.822	6.452	38.242	38.242	0.000	38.242	34.829	0.008	34.826	34.803	0.008	34.799
4776	40.822	6.452	38.242	38.242	0.000	38.242	34.781	0.008	34.778	34.755	0.008	34.751
4777	40.822	6.452	38.242	38.242	0.000	38.242	34.733	0.008	34.730	34.707	0.008	34.703
4778	40.822	6.452	38.242	38.242	0.000	38.242	34.686	0.008	34.683	34.659	0.008	34.656
4779	40.822	6.452	38.242	38.242	0.000	38.242	34.638	0.008	34.635	34.611	0.008	34.608
4780	40.822	6.452	38.242	38.242	0.000	38.242	34.590	0.008	34.587	34.564	0.008	34.561
