Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
1269	37.64	6.45	35.06	35.06	0.00	35.06	32.48	0.02	32.47	32.47	0.02	32.46
1270	37.65	6.45	35.07	35.07	0.00	35.07	32.40	0.01	32.40	32.40	0.01	32.39
1271	37.66	6.45	35.08	35.08	0.00	35.08	32.34	0.01	32.34	32.34	0.01	32.34
1272	37.67	6.45	35.09	35.09	0.00	35.09	32.29	0.01	32.29	32.29	0.01	32.28
1273	37.68	6.45	35.10	35.10	0.00	35.10	32.24	0.01	32.24	32.24	0.01	32.24
1274	37.69	6.45	35.11	35.11	0.00	35.11	32.20	0.01	32.20	32.20	0.01	32.19
1275	37.70	6.45	35.12	35.12	0.00	35.12	32.16	0.01	32.15	32.15	0.01	32.15
1276	37.71	6.45	35.13	35.13	0.00	35.13	32.11	0.01	32.11	32.11	0.01	32.11
1277	37.72	6.45	35.14	35.14	0.00	35.14	32.07	0.01	32.07	32.07	0.01	32.07
1278	37.73	6.45	35.15	35.15	0.00	35.15	32.03	0.01	32.03	32.03	0.01	32.03
1279	37.74	6.45	35.16	35.16	0.00	35.16	33.63	3.77	32.12	32.12	-0.02	32.13
1280	37.75	6.45	35.17	35.17	0.00	35.17	35.92	8.98	32.33	32.33	-0.04	32.35
1281	37.76	6.45	35.18	35.18	0.00	35.18	37.83	13.07	32.60	32.60	-0.04	32.61
1282	37.77	6.45	35.19	35.19	0.00	35.19	38.11	13.34	32.78	32.78	-0.03	32.79
1283	37.78	6.45	35.20	35.20	0.00	35.20	38.26	13.36	32.91	32.91	-0.02	32.92
1284	37.79	6.45	35.21	35.21	0.00	35.21	37.33	10.96	32.94	32.94	-0.01	32.95
1285	37.80	6.45	35.22	35.22	0.00	35.22	37.31	10.81	32.99	32.99	-0.01	32.99
