Test Case	Variable	ToolID	Tool Name	Version	Unit	Editor	Fehlercode	Average [-]	CVRMSE [%]	Daily Amplitude CVRMSE [%]	MBE	MSE [%]	Max Difference [-]	Maximum [-]	Minimum [-]	NMBE [%]	NRMSE [%]	R squared [-]	RMSE [%]	RMSEIQR [%]	RMSLE [%]	std dev [-]	Reference	SimQ-Score [%]	SimQ-Rating
01-Sonnenstand	Singapur Altitude	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	42.82	0.67	0.3	-0.04	0.08	0.48	88.23	1.76	-0.09	0.33	99.98	0.29	0.73	0.01933	22.96	True	99.51	Perfect
01-Sonnenstand	Singapur Azimuth	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	180.08	2.32	0.88	0.29	17.39	118.99	359.44	0.2	0.16	1.17	99.75	4.17	2.7	0.06179	84.18	True	98.29	Perfect
01-Sonnenstand	Lima Altitude	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	42.99	0.18	0.12	0.0	0.01	0.31	89.38	1.84	0.0	0.09	100.0	0.08	0.2	0.00423	23.48	True	99.81	Perfect
01-Sonnenstand	Lima Azimuth	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	180.14	1.79	0.47	-0.03	10.39	138.86	359.85	0.3	-0.02	0.9	99.9	3.22	1.78	0.09428	100.24	True	98.6	Perfect
01-Sonnenstand	Denver Altitude	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	29.25	1.02	1.13	-0.15	0.09	0.71	69.5	1.84	-0.49	0.44	99.97	0.3	1.25	0.0225	16.59	True	98.87	Perfect
01-Sonnenstand	Denver Azimuth	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	180.12	0.24	0.12	-0.38	0.18	1.02	293.58	66.44	-0.21	0.19	99.99	0.43	0.42	0.00234	57.95	True	99.66	Perfect
01-Sonnenstand	Barrow Altitude	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	14.85	1.2	1.05	-0.04	0.03	0.46	37.96	1.94	-0.27	0.49	99.97	0.18	1.32	0.02433	10.73	True	97.22	Perfect
01-Sonnenstand	Barrow Azimuth	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	180.0	0.15	0.05	-0.27	0.08	0.42	338.99	21.34	-0.15	0.09	100.0	0.28	0.3	0.00238	70.76	True	99.72	Perfect
01-Sonnenstand	Melbourne Altitude	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	34.9	0.56	0.39	-0.04	0.04	0.33	75.72	1.82	-0.13	0.27	99.99	0.2	0.61	0.01537	19.37	True	99.53	Perfect
01-Sonnenstand	Melbourne Azimuth	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	180.15	4.69	0.55	0.26	71.31	183.47	359.96	0.01	0.15	2.35	99.52	8.44	3.64	0.08334	122.53	True	97.59	Perfect
01-Sonnenstand	Potsdam Altitude	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	23.33	1.87	1.06	0.37	0.19	0.79	57.4	1.8	1.59	0.78	99.91	0.43	2.25	0.02959	14.18	True	98.64	Perfect
01-Sonnenstand	Potsdam Azimuth	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	179.99	0.14	0.23	-0.05	0.07	0.58	299.8	60.1	-0.03	0.11	100.0	0.26	0.29	0.00195	56.07	True	99.85	Perfect
01-Sonnenstand	Shanghai Altitude	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	33.65	1.2	1.08	0.26	0.16	0.85	78.4	1.7	0.79	0.53	99.95	0.4	1.46	0.02351	18.47	True	99.13	Perfect
01-Sonnenstand	Shanghai Azimuth	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	179.69	0.3	0.32	-0.29	0.3	2.0	291.4	68.3	-0.16	0.24	99.99	0.54	0.49	0.00414	61.26	True	99.68	Perfect
01-Sonnenstand	Kaxgar Altitude	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	29.87	2.0	1.99	0.36	0.35	1.15	70.4	1.2	1.23	0.87	99.87	0.59	2.44	0.03991	16.76	True	98.38	Perfect
01-Sonnenstand	Kaxgar Azimuth	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	179.15	0.45	0.31	-0.64	0.65	2.22	293.0	65.8	-0.36	0.35	99.98	0.8	0.79	0.00592	58.38	True	99.45	Perfect
01-Sonnenstand	Singapur Altitude	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	42.93	1.47	1.42	0.07	0.4	1.14	89.0	0.9	0.16	0.73	99.92	0.63	1.59	0.04112	23.04	True	98.91	Perfect
01-Sonnenstand	Singapur Azimuth	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	179.17	4.66	0.91	-0.62	70.15	237.95	359.5	0.3	-0.35	2.36	99.01	8.38	5.42	0.16427	84.97	True	96.69	Perfect
01-Sonnenstand	Lima Altitude	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	42.93	0.45	0.52	-0.06	0.04	0.51	89.8	1.4	-0.14	0.22	99.99	0.19	0.5	0.01151	23.47	True	99.68	Perfect
01-Sonnenstand	Lima Azimuth	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	180.27	2.53	0.78	0.1	20.76	218.03	359.9	0.2	0.06	1.27	99.79	4.56	2.52	0.06989	100.76	True	97.98	Perfect
01-Sonnenstand	Denver Altitude	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	29.88	2.15	2.14	0.48	0.4	1.07	70.4	1.1	1.63	0.93	99.86	0.63	2.62	0.03759	16.75	True	98.12	Perfect
01-Sonnenstand	Denver Azimuth	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	181.03	0.41	0.3	0.53	0.54	1.95	294.2	66.9	0.3	0.32	99.98	0.74	0.73	0.00366	58.38	True	99.47	Perfect
01-Sonnenstand	Barrow Altitude	Radiance	Radiance	5.2.0	Deg	Stephan Hirth, IBK TU Dresden	0	15.23	2.8	2.04	0.34	0.17	0.71	38.4	1.6	2.27	1.15	99.85	0.42	3.08	0.04949	10.73	True	97.73	Perfect
